--- Enter port index or full name: Serial started.
INA219 Shunt Resistor (ohms): 0.10
setup() complete

Starting test_current_at_each_r2r_value()

r2r_value,bus_voltage_V,current_mA,shunt_voltage_mV,shunt_adc
344,0.064,29.51,4.1700,3
344,0.152,40.89,3.0700,3
344,0.076,32.90,3.2900,3
344,0.144,38.48,3.8500,3
344,0.056,25.09,3.7400,3
344,0.160,44.10,3.4400,3
344,0.060,28.50,2.8500,3
344,0.156,41.99,4.2000,3
346,0.056,25.21,2.5200,3
346,0.164,44.10,3.4100,3
346,0.052,19.90,2.9100,3
346,0.148,40.99,4.1000,3
346,0.052,22.58,2.2600,3
346,0.168,46.08,3.6800,3
346,0.056,19.59,2.5800,3
346,0.168,48.80,4.3500,3
346,0.052,21.09,2.1100,3
346,0.164,47.30,3.9600,3
348,0.056,19.50,1.9500,3
348,0.160,48.49,4.2600,3
348,0.068,22.89,2.1300,3
348,0.160,47.09,4.7100,3
348,0.060,20.20,2.0200,3
348,0.156,48.71,4.5400,3
348,0.076,24.20,2.0500,3
348,0.160,48.28,4.8300,3
348,0.064,22.00,2.2000,3
348,0.148,48.10,4.7400,3
350,0.068,24.11,2.0000,3
350,0.132,46.91,4.8400,3
350,0.084,21.79,2.1800,3
350,0.144,48.28,4.8300,3
350,0.076,25.79,2.0800,3
350,0.116,44.71,4.8800,3
350,0.092,28.29,2.3400,3
350,0.128,47.00,4.7000,3
350,0.084,27.50,2.2300,3
350,0.100,41.20,4.8600,3

Done test_current_at_each_r2r_value()


Starting test_current_at_each_r2r_value()

r2r_value,bus_voltage_V,current_mA,shunt_voltage_mV,shunt_adc
200,9.376,-0.49,655.3100,3
200,8.920,-0.49,655.2900,3
200,9.336,-0.49,655.3100,3
200,8.964,-0.40,655.3000,3
200,9.416,-0.70,655.2800,3
200,9.048,-0.40,655.3200,3
200,9.384,-0.70,655.3100,3
200,8.888,-0.40,655.3100,3
200,9.348,-0.70,655.2900,3
200,8.956,-0.79,655.3000,3
202,9.384,-0.49,655.3100,3
202,8.892,-0.49,655.2900,3
202,9.340,-0.40,655.3200,3
202,8.972,-0.40,655.3200,3
