time	V(tianoninv)	I(Rf)	Ix(U2:OUT)
1.852714715525508e+00	4.576805e+00	9.153613e-04	-1.809154e-01
1.872245965525508e+00	4.545009e+00	9.090021e-04	-1.809090e-01
1.882011590525508e+00	4.529131e+00	9.058267e-04	-1.809058e-01
1.901542840525508e+00	4.497417e+00	8.994837e-04	-1.808995e-01
1.921074090525508e+00	4.465755e+00	8.931514e-04	-1.808932e-01
1.950370965525508e+00	4.418363e+00	8.836729e-04	-1.808837e-01
1.969902215525508e+00	4.386833e+00	8.773670e-04	-1.808774e-01
1.999199090525508e+00	4.339637e+00	8.679277e-04	-1.808680e-01
2.018730340525508e+00	4.308238e+00	8.616479e-04	-1.808617e-01
2.028495965525508e+00	4.292558e+00	8.585119e-04	-1.808585e-01
2.038261590525508e+00	4.276891e+00	8.553785e-04	-1.808554e-01
2.048027215525508e+00	4.261236e+00	8.522476e-04	-1.808523e-01
2.057792840525508e+00	4.245595e+00	8.491193e-04	-1.808491e-01
2.067558465525508e+00	4.229966e+00	8.459936e-04	-1.808460e-01
2.077324090525508e+00	4.214350e+00	8.428704e-04	-1.808429e-01
2.087089715525508e+00	4.198747e+00	8.397497e-04	-1.808398e-01
2.096855340525508e+00	4.183156e+00	8.366316e-04	-1.808367e-01
2.106620965525508e+00	4.167578e+00	8.335160e-04	-1.808335e-01
2.116386590525508e+00	4.152013e+00	8.304029e-04	-1.808304e-01
2.126152215525508e+00	4.136460e+00	8.272923e-04	-1.808273e-01
2.174980340525508e+00	4.058884e+00	8.117772e-04	-1.808118e-01
2.194511590525508e+00	4.027941e+00	8.055884e-04	-1.808056e-01
2.204277215525508e+00	4.012488e+00	8.024978e-04	-1.808025e-01
2.214042840525508e+00	3.997047e+00	7.994097e-04	-1.807994e-01
2.223808465525508e+00	3.981618e+00	7.963240e-04	-1.807963e-01
2.233574090525508e+00	3.966202e+00	7.932407e-04	-1.807933e-01
2.243339715525508e+00	3.950798e+00	7.901598e-04	-1.807902e-01
2.253105340525508e+00	3.935406e+00	7.870815e-04	-1.807871e-01
2.262870965525508e+00	3.920026e+00	7.840055e-04	-1.807840e-01
2.321464715525508e+00	3.828000e+00	7.656004e-04	-1.807656e-01
2.331230340525508e+00	3.812705e+00	7.625412e-04	-1.807626e-01
2.350761590525508e+00	3.782149e+00	7.564301e-04	-1.807564e-01
2.370292840525508e+00	3.751641e+00	7.503284e-04	-1.807504e-01
2.389824090525508e+00	3.721180e+00	7.442362e-04	-1.807443e-01
2.409355340525508e+00	3.690766e+00	7.381534e-04	-1.807382e-01
2.417725876239794e+00	3.677745e+00	7.355493e-04	-1.807356e-01
2.426096411954080e+00	3.664733e+00	7.329470e-04	-1.807330e-01
2.434466947668365e+00	3.651730e+00	7.303463e-04	-1.807304e-01
2.442837483382651e+00	3.638735e+00	7.277474e-04	-1.807278e-01
2.451208019096936e+00	3.625749e+00	7.251501e-04	-1.807252e-01
2.459578554811222e+00	3.612772e+00	7.225546e-04	-1.807226e-01
2.467949090525508e+00	3.599802e+00	7.199608e-04	-1.807200e-01
2.487480340525508e+00	3.569574e+00	7.139150e-04	-1.807139e-01
2.497245965525508e+00	3.554477e+00	7.108956e-04	-1.807109e-01
2.507011590525508e+00	3.539391e+00	7.078785e-04	-1.807079e-01
2.516777215525508e+00	3.524317e+00	7.048637e-04	-1.807049e-01
2.526542840525508e+00	3.509254e+00	7.018511e-04	-1.807019e-01
2.536308465525508e+00	3.494202e+00	6.988407e-04	-1.806989e-01
2.546074090525508e+00	3.479162e+00	6.958326e-04	-1.806958e-01
2.555839715525508e+00	3.464133e+00	6.928268e-04	-1.806928e-01
2.565605340525508e+00	3.449115e+00	6.898232e-04	-1.806898e-01
2.585136590525508e+00	3.419113e+00	6.838229e-04	-1.806838e-01
2.604667840525508e+00	3.389156e+00	6.778315e-04	-1.806778e-01
2.624199090525508e+00	3.359243e+00	6.718489e-04	-1.806719e-01
2.663261590525508e+00	3.299551e+00	6.599104e-04	-1.806599e-01
2.692558465525508e+00	3.254896e+00	6.509795e-04	-1.806510e-01
2.712089715525508e+00	3.225181e+00	6.450365e-04	-1.806450e-01
2.731620965525508e+00	3.195509e+00	6.391021e-04	-1.806391e-01
2.751152215525508e+00	3.165881e+00	6.331764e-04	-1.806332e-01
2.760917840525508e+00	3.151083e+00	6.302168e-04	-1.806302e-01
2.770683465525508e+00	3.136295e+00	6.272593e-04	-1.806273e-01
2.780449090525508e+00	3.121519e+00	6.243040e-04	-1.806243e-01
2.829277215525508e+00	3.047795e+00	6.095592e-04	-1.806096e-01
2.848808465525508e+00	3.018379e+00	6.036760e-04	-1.806037e-01
2.858574090525508e+00	3.003687e+00	6.007376e-04	-1.806007e-01
2.878105340525508e+00	2.974334e+00	5.948670e-04	-1.805949e-01
2.897636590525508e+00	2.945023e+00	5.890048e-04	-1.805890e-01
2.917167840525508e+00	2.915754e+00	5.831509e-04	-1.805832e-01
2.926933465525508e+00	2.901134e+00	5.802271e-04	-1.805802e-01
2.946464715525508e+00	2.871927e+00	5.743856e-04	-1.805744e-01
2.965995965525508e+00	2.842760e+00	5.685522e-04	-1.805686e-01
2.995292840525508e+00	2.799087e+00	5.598175e-04	-1.805598e-01
3.024589715525508e+00	2.755505e+00	5.511012e-04	-1.805511e-01
3.044120965525508e+00	2.726501e+00	5.453003e-04	-1.805453e-01
3.053886590525508e+00	2.712013e+00	5.424028e-04	-1.805424e-01
3.073417840525508e+00	2.683069e+00	5.366140e-04	-1.805366e-01
3.083183465525508e+00	2.668612e+00	5.337226e-04	-1.805337e-01
3.092949090525508e+00	2.654165e+00	5.308332e-04	-1.805308e-01
3.102714715525508e+00	2.639728e+00	5.279457e-04	-1.805280e-01
3.112480340525508e+00	2.625300e+00	5.250602e-04	-1.805251e-01
3.122245965525508e+00	2.610883e+00	5.221767e-04	-1.805222e-01
