time	V(tianoninv)	I(R4)
9.665374107716746e+00	4.441852e-01	1.800015e-02
9.675139732716746e+00	4.311047e-01	1.800009e-02
9.684905357716746e+00	4.180313e-01	1.800006e-02
9.694670982716746e+00	4.049652e-01	1.800003e-02
9.704436607716746e+00	3.919062e-01	1.800002e-02
9.714202232716746e+00	3.788545e-01	1.800001e-02
9.733733482716746e+00	3.527724e-01	1.800000e-02
9.751869643431032e+00	3.285790e-01	1.800000e-02
9.770005804145317e+00	3.044099e-01	1.800000e-02
9.788141964859603e+00	2.802651e-01	1.800000e-02
9.806278125573888e+00	2.561447e-01	1.800000e-02
9.824414286288174e+00	2.320486e-01	1.800000e-02
9.842550447002459e+00	2.079767e-01	1.800000e-02
9.860686607716746e+00	1.839292e-01	1.800000e-02
9.878822768431032e+00	1.599057e-01	1.800000e-02
9.896958929145317e+00	1.359060e-01	1.800000e-02
9.915095089859603e+00	1.119301e-01	1.800000e-02
9.933231250573888e+00	8.797789e-02	1.800000e-02
9.951367411288174e+00	6.404947e-02	1.800000e-02
9.969503572002459e+00	4.014482e-02	1.800000e-02
9.987639732716746e+00	1.626393e-02	1.800000e-02
9.997405357716746e+00	3.413381e-03	1.800000e-02
1.000000000000000e+01	8.133811e-06	1.800000e-02
